fold,threshold,n_kept,wr,mean_pnl,vs_baseline_delta
1,0.5,33,0.48484848484848486,-2.2722166666666674,-1.9780134583333338
1,0.55,29,0.4482758620689655,-3.1455241379310355,-2.851320929597702
1,0.6,25,0.48,-2.6041100000000004,-2.3099067916666667
1,0.65,19,0.47368421052631576,-2.5028044736842108,-2.208601265350877
1,0.7,14,0.35714285714285715,-4.885484642857143,-4.591281434523808
2,0.5,80,0.625,0.4782593749999996,-0.17579229166666666
2,0.55,75,0.6133333333333333,0.28860333333333293,-0.3654483333333333
2,0.6,65,0.6,0.00015999999999968177,-0.6538916666666665
2,0.65,58,0.603448275862069,0.13332931034482717,-0.520722356321839
2,0.7,51,0.5882352941176471,-0.13483725490196113,-0.7888889215686274
3,0.5,96,0.4375,-3.389646354166667,-0.6398063541666668
3,0.55,89,0.4044943820224719,-4.00151797752809,-1.25167797752809
3,0.6,82,0.3780487804878049,-4.475478658536586,-1.7256386585365857
3,0.65,72,0.3888888888888889,-4.233984722222222,-1.4841447222222217
3,0.7,55,0.4,-3.9785945454545453,-1.228754545454545
4,0.5,71,0.43661971830985913,-2.409578873239437,-0.2639261649061031
4,0.55,57,0.45614035087719296,-2.1286859649122807,0.0169667434210532
4,0.6,48,0.5208333333333334,-1.1779718750000001,0.9676808333333338
4,0.65,35,0.45714285714285713,-2.515525714285714,-0.36987300595238004
4,0.7,24,0.4583333333333333,-2.4594375,-0.31378479166666606
5,0.5,52,0.5769230769230769,-0.08512923076923062,0.12036801923076917
5,0.55,42,0.5476190476190477,-0.8089814285714283,-0.6034841785714284
5,0.6,31,0.5483870967741935,-0.9329516129032256,-0.7274543629032257
5,0.65,20,0.5,-2.0390524999999995,-1.8335552499999996
5,0.7,12,0.5,-3.1735749999999996,-2.96807775
